okrug,raion,price,living_complex,title,rooms,metro_time,info_total_area,info_living_area,info_kitchen_area,info_floor,info_total_floors,info_year_built,rent_price_per_month,rent_jkh,rent_deposit,rent_commissions,rent_prepayment,rent_term,rent_living_conditions
ЮВАО,р-н Некрасовка,40000,ЖК «В некрасовке-2 »,"Сдается 1-комн. квартира, 33 м²",1,7.0,33.0,15.0,8.0,5,17,,40000,включена (без счётчиков),40 000 ₽,нет,1 месяц,от года,можно с детьми и животными
СВАО,р-н Северный,90000,ЖК «ФизтехСити»,"Сдается 2-комн. квартира, 44 м²",2,5.0,44.0,35.0,4.0,8,20,2024.0,90000,включена (без счётчиков),70 000 ₽,нет,1 месяц,от года,можно с детьми
ЮВАО,р-н Кузьминки,48000,,"Сдается 1-комн. квартира, 34,9 м²",1,5.0,34.9,22.0,6.0,2,9,1962.0,48000,включена (без счётчиков),48 000 ₽,нет,1 месяц,от года,можно с детьми
САО,р-н Беговой,400000,ЖК «Клубный дом SOHO+NOHO (Сохо+Нохо)»,"Сдаются 3-комн. апартаменты, 104,2 м²",3,14.0,104.2,,,11,20,2020.0,400000,включена (счётчики включены),400 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Нижегородский,30000,ЖК «Аквилон Beside (Аквилон Бисайд)»,"Сдается 2-комн. квартира, 58 м²",2,12.0,58.0,28.8,12.6,13,25,,30000,включена (без счётчиков),10 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми и животными
ЦАО,р-н Пресненский,39000,,"Сдается апартаменты-студия, 11 м²",студия,16.0,11.0,8.0,3.0,1,5,1953.0,39000,включена (без счётчиков),39 000 ₽,нет,1 месяц,от года,
САО,р-н Головинский,100000,ЖК «ЛЕНИНГРАDКА 58 (ЛЕНИНГРАДКА 58)»,"Сдается 1-комн. квартира, 42 м²",1,4.0,42.0,12.0,18.0,16,29,,100000,включена (без счётчиков),100 000 ₽,нет,1 месяц,от года,можно с животными
ЮВАО,р-н Нижегородский,49000,ЖК «Перовское 2»,"Сдается студия, 26 м²",студия,12.0,26.0,17.0,5.0,23,33,,49000,включена (без счётчиков),47 000 ₽,нет,1 месяц,от года,
ВАО,р-н Гольяново,77000,ЖК «Амурский парк»,"Сдается 1-комн. квартира, 45 м²",1,4.0,45.0,35.0,8.0,17,17,2023.0,77000,включена (без счётчиков),77 000 ₽,нет,1 месяц,от года,можно с детьми
САО,р-н Хорошевский,170000,ЖК «Сити-комплекс Мята»,"Сдаются 2-комн. апартаменты, 55,5 м²",2,10.0,55.5,,,16,22,,170000,включена (без счётчиков),нет,нет,1 месяц,от года,
НАО (Новомосковский),Рязановское поселение,35000,ЖК «Остафьево»,"Сдается студия, 29 м²",студия,7.0,29.0,15.0,,9,15,2021.0,35000,включена (без счётчиков),35 000 ₽,нет,1 месяц,от года,
ЮАО,р-н Царицыно,90000,,"Сдается 3-комн. квартира, 70 м²",3,15.0,70.0,,,7,9,1968.0,90000,включена (счётчики включены),90 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми
ЗАО,р-н Можайский,45000,,"Сдается 1-комн. квартира, 31,7 м²",1,5.0,31.7,18.7,5.0,2,5,1961.0,45000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,
ЮЗАО,р-н Южное Бутово,26000,,"Сдается студия, 12 м²",студия,4.0,12.0,8.0,2.0,1,14,2008.0,26000,включена (без счётчиков),26 000 ₽,нет,1 месяц,от года,
ЮАО,р-н Нагатинский затон,85000,ЖК «Ривер Парк Коломенское»,"Сдаются 2-комн. апартаменты, 37 м²",2,7.0,37.0,,,9,18,2021.0,85000,включена (счётчики включены),85 000 ₽,нет,1 месяц,от года,можно с детьми
ЮЗАО,р-н Ясенево,90000,ЖК «Комплекс апартаментов LES (Лес)»,"Сдаются 1-комн. апартаменты, 54 м²",1,4.0,54.0,36.0,8.0,8,13,,90000,включена (без счётчиков),90 000 ₽,нет,1 месяц,от года,можно с детьми
НАО (Новомосковский),Десеновское поселение,35000,"ЖК «Новые Ватутинки, мкр. Центральный»","Сдается студия, 27 м²",студия,16.0,27.0,20.0,7.0,8,12,2024.0,35000,включена (без счётчиков),35 000 ₽,нет,1 месяц,от года,
САО,р-н Хорошевский,145000,ЖК «Сити-комплекс Мята»,"Сдаются 2-комн. апартаменты, 46 м²",2,10.0,46.0,27.5,10.7,18,22,,145000,включена (без счётчиков),145 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Нижегородский,95000,ЖК «SREDA (Среда)»,"Сдается 2-комн. квартира, 46 м²",2,9.0,46.0,38.0,,21,29,,95000,включена (без счётчиков),95 000 ₽,нет,1 месяц,от года,можно с детьми
ЮЗАО,р-н Черемушки,30000,ЖК «Апарт-комплекс Нахимов»,"Сдаются 2-комн. апартаменты, 50,9 м²",2,21.0,50.9,,,7,24,,30000,включена (без счётчиков),нет,нет,1 месяц,несколько месяцев,
ЮВАО,р-н Кузьминки,44000,,"Сдается 1-комн. квартира, 31,8 м²",1,13.0,31.8,20.3,5.0,1,5,1964.0,44000,включена (без счётчиков),44 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЦАО,р-н Тверской,180000,,"Сдается 2-комн. квартира, 55 м²",2,4.0,55.0,,,13,17,1976.0,180000,включена (счётчики включены),180 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЮВАО,р-н Кузьминки,43000,,"Сдается 1-комн. квартира, 33 м²",1,4.0,33.0,17.0,7.0,3,5,,43000,включена (без счётчиков),43 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),ул. Медовая Долина,35000,ЖК «Баркли Медовая долина»,"Сдается студия, 26,7 м²",студия,9.0,26.7,18.0,4.0,3,7,2021.0,35000,включена (без счётчиков),20 000 ₽,нет,2 месяца,от года,можно с детьми и животными
САО,р-н Ховрино,40000,,"Сдается 1-комн. квартира, 12 м²",1,6.0,12.0,8.0,2.0,1,9,,40000,включена (без счётчиков),нет,нет,2 месяца,несколько месяцев,
ЮАО,р-н Нагатино-Садовники,130000,ЖК «Level Нагатинская (Левел Нагатинская)»,"Сдается 2-комн. квартира, 42 м²",2,6.0,42.0,30.0,10.0,16,26,2024.0,130000,включена (без счётчиков),80 000 ₽,нет,1 месяц,от года,можно с детьми
ЗАО,р-н Можайский,90000,ЖК «Кутузов Град»,"Сдается 2-комн. квартира, 57 м²",2,21.0,57.0,36.0,10.0,14,29,2021.0,90000,включена (счётчики включены),90 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми
САО,р-н Восточное Дегунино,60000,,"Сдается 2-комн. квартира, 42,4 м²",2,6.0,42.4,28.0,6.0,4,9,1971.0,60000,включена (без счётчиков),60 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЮЗАО,р-н Теплый Стан,70000,,"Сдается 1-комн. квартира, 40 м²",1,6.0,40.0,,,8,16,1978.0,70000,включена (счётчики включены),60 000 ₽,нет,1 месяц,несколько месяцев,
ЮАО,р-н Нагатино-Садовники,65000,,"Сдается 1-комн. квартира, 30 м²",1,6.0,30.0,18.0,6.0,2,9,,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
ЗАО,р-н Дорогомилово,92000,,"Сдается 2-комн. квартира, 57 м²",2,7.0,57.0,35.0,9.0,7,8,,92000,включена (без счётчиков),92 000 ₽,нет,1 месяц,от года,
САО,р-н Дмитровский,100000,ЖК «Дмитровский парк»,"Сдается 2-комн. квартира, 42 м²",2,22.0,42.0,30.0,6.0,2,33,2023.0,100000,включена (счётчики включены),100 000 ₽,нет,1 месяц,от года,можно с детьми
НАО (Новомосковский),Сосенское поселение,60000,ЖК «Бунинские луга»,"Сдается 2-комн. квартира, 34 м²",2,6.0,34.0,,17.0,14,17,2023.0,60000,включена (без счётчиков),60 000 ₽,нет,1 месяц,от года,
САО,р-н Ховрино,40000,,"Сдается апартаменты-студия, 12,5 м²",студия,17.0,12.5,,,1,17,2010.0,40000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,
СЗАО,р-н Хорошево-Мневники,42000,ЖК «Level Причальный (Левел Причальный)»,"Сдается 1-комн. квартира, 34 м²",1,12.0,34.0,20.0,10.0,24,36,2023.0,42000,включена (счётчики включены),нет,нет,1 месяц,несколько месяцев,
САО,р-н Хорошевский,350000,ЖК «Прайм Парк (Prime Park)»,"Сдается 2-комн. квартира, 75 м²",2,12.0,75.0,,,8,40,2021.0,350000,включена (счётчики включены),350 000 ₽,нет,1 месяц,от года,
СВАО,р-н Отрадное,60000,,"Сдается 2-комн. квартира, 45 м²",2,13.0,45.0,30.0,6.0,9,9,,60000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЗелАО,р-н Крюково,33000,,"Сдается студия, 19,6 м²",студия,8.0,19.6,,,8,11,,33000,включена (без счётчиков),30 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЮВАО,р-н Нижегородский,65000,,"Сдается студия, 23 м²",студия,14.0,23.0,20.4,,18,25,2024.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
ЗАО,р-н Раменки,200000,ЖК «Огни»,"Сдается 2-комн. квартира, 63 м²",2,5.0,63.0,38.0,10.0,26,41,,200000,включена (без счётчиков),200 000 ₽,нет,1 месяц,от года,
ЗАО,р-н Очаково-Матвеевское,40000,,"Сдается 1-комн. квартира, 34,9 м²",1,16.0,34.9,19.4,9.6,13,14,1969.0,40000,включена (счётчики включены),40 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми
ЦАО,р-н Мещанский,85000,,"Сдается 1-комн. квартира, 31,6 м²",1,6.0,31.6,17.0,6.8,1,14,1970.0,85000,включена (без счётчиков),90 000 ₽,нет,1 месяц,от года,можно с детьми и животными
