district,area,price,rooms,metro_time,info_total_area,rent_jkh,rent_prepayment,rent_term,rent_living_conditions,floor_ratio,last_floor,year_built_interval
ЮАО,р-н Нагатинский затон,85000,2,7.0,37.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.5,0,1991-2025
ЮЗАО,р-н Ясенево,90000,1,4.0,54.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.6153846153846154,0,не попал
НАО (Новомосковский),Десеновское поселение,35000,студия,16.0,27.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.6666666666666666,0,1991-2025
САО,р-н Хорошевский,145000,2,10.0,46.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.8181818181818182,0,не попал
ЮВАО,р-н Нижегородский,95000,2,9.0,46.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.7241379310344828,0,не попал
ЮЗАО,р-н Черемушки,30000,2,21.0,50.9,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.2916666666666667,0,не попал
ЮВАО,р-н Кузьминки,44000,1,13.0,31.8,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.2,0,1945-1970
ЦАО,р-н Тверской,180000,2,4.0,55.0,включена (счётчики включены),1 месяц,от года,можно с детьми и животными,0.7647058823529411,0,1970-1990
ЮВАО,р-н Кузьминки,43000,1,4.0,33.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.6,0,не попал
НАО (Новомосковский),ул. Медовая Долина,35000,студия,9.0,26.7,включена (без счётчиков),2 месяца,от года,можно с детьми и животными,0.42857142857142855,0,1991-2025
САО,р-н Ховрино,40000,1,6.0,12.0,включена (без счётчиков),2 месяца,несколько месяцев,"ни с детьми, ни с животными",0.1111111111111111,0,не попал
ЮАО,р-н Нагатино-Садовники,130000,2,6.0,42.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.6153846153846154,0,1991-2025
ЗАО,р-н Можайский,90000,2,21.0,57.0,включена (счётчики включены),1 месяц,несколько месяцев,можно с детьми,0.4827586206896552,0,1991-2025
САО,р-н Восточное Дегунино,60000,2,6.0,42.4,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.4444444444444444,0,1970-1990
ЮЗАО,р-н Теплый Стан,70000,1,6.0,40.0,включена (счётчики включены),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.5,0,1970-1990
ЮАО,р-н Нагатино-Садовники,65000,1,6.0,30.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.2222222222222222,0,не попал
ЗАО,р-н Дорогомилово,92000,2,7.0,57.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.875,0,не попал
САО,р-н Дмитровский,100000,2,22.0,42.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.06060606060606061,0,1991-2025
НАО (Новомосковский),Сосенское поселение,60000,2,6.0,34.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.8235294117647058,0,1991-2025
САО,р-н Ховрино,40000,студия,17.0,12.5,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.058823529411764705,0,1991-2025
СЗАО,р-н Хорошево-Мневники,42000,1,12.0,34.0,включена (счётчики включены),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.6666666666666666,0,1991-2025
САО,р-н Хорошевский,350000,2,12.0,75.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.2,0,1991-2025
СВАО,р-н Отрадное,60000,2,13.0,45.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,1.0,1,не попал
ЗелАО,р-н Крюково,33000,студия,8.0,19.6,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.7272727272727273,0,не попал
ЮВАО,р-н Нижегородский,65000,студия,14.0,23.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.72,0,1991-2025
ЗАО,р-н Раменки,200000,2,5.0,63.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.6341463414634146,0,не попал
ЗАО,р-н Очаково-Матвеевское,40000,1,16.0,34.9,включена (счётчики включены),1 месяц,несколько месяцев,можно с детьми,0.9285714285714286,0,1945-1970
ЦАО,р-н Мещанский,85000,1,6.0,31.6,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.07142857142857142,0,1945-1970
ЮАО,р-н Даниловский,60000,1,4.0,36.5,включена (счётчики включены),1 месяц,от года,можно с детьми и животными,0.20833333333333334,0,1991-2025
ЮЗАО,р-н Ясенево,75000,2,3.0,54.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.75,0,1970-1990
СВАО,р-н Ярославский,55000,1,9.0,33.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.5,0,1970-1990
ЗАО,р-н Кунцево,68000,2,10.0,50.1,включена (без счётчиков),1 месяц,от года,можно с детьми,0.64,0,1991-2025
СВАО,р-н Отрадное,42000,1,16.0,36.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.4166666666666667,0,1970-1990
СВАО,р-н Северный,60000,1,9.0,45.2,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.21428571428571427,0,не попал
СВАО,р-н Останкинский,65000,студия,4.0,30.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.18181818181818182,0,не попал
ЗАО,р-н Можайский,32000,студия,6.0,14.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.08333333333333333,0,1945-1970
ЮЗАО,р-н Академический,145000,3,9.0,104.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.12,0,1991-2025
САО,р-н Левобережный,45000,1,4.0,28.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.2,0,1945-1970
СЗАО,р-н Хорошево-Мневники,300000,3,7.0,93.8,включена (без счётчиков),1 месяц,несколько месяцев,можно с детьми,0.12,0,1991-2025
ЗАО,р-н Филевский парк,130000,2,9.0,37.6,включена (без счётчиков),2 месяца,от года,можно с детьми,0.7,0,1991-2025
ВАО,р-н Новогиреево,65000,2,16.0,47.2,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.5833333333333334,0,1945-1970
САО,р-н Хорошевский,105000,2,3.0,56.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.6,0,1945-1970
ЮВАО,р-н Некрасовка,45000,1,5.0,30.0,включена (без счётчиков),1 месяц,от года,можно с животными,1.0,1,1991-2025
ЦАО,р-н Таганский,85000,1,7.0,46.5,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.3,0,1945-1970
СВАО,р-н Марфино,80000,студия,7.0,38.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.2,0,1991-2025
ЗелАО,р-н Крюково,38000,1,12.0,37.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.5,0,1991-2025
ЗАО,р-н Проспект Вернадского,170000,3,12.0,128.0,включена (без счётчиков),1 месяц,несколько месяцев,можно с детьми,0.23076923076923078,0,не попал
САО,р-н Головинский,40000,студия,5.0,20.0,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",1.0,1,1945-1970
ЮВАО,р-н Нижегородский,130000,4,13.0,78.0,включена (без счётчиков),1 месяц,несколько месяцев,можно с детьми,0.3939393939393939,0,1991-2025
САО,р-н Дмитровский,65000,студия,22.0,25.1,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.696969696969697,0,1991-2025
ЮАО,р-н Царицыно,44999,2,14.0,45.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",1.0,1,не попал
СВАО,р-н Бутырский,200000,2,14.0,63.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.6938775510204082,0,не попал
САО,р-н Хорошевский,160000,2,3.0,69.6,включена (без счётчиков),2 месяца,от года,"ни с детьми, ни с животными",0.5675675675675675,0,1991-2025
ЮАО,р-н Даниловский,47000,2,4.0,44.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.5555555555555556,0,1945-1970
САО,р-н Ховрино,57000,1,8.0,32.0,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",1.0,1,1945-1970
СВАО,р-н Лианозово,70000,1,4.0,37.6,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.36363636363636365,0,не попал
НАО (Новомосковский),Рязановское поселение,35000,студия,7.0,25.0,включена (счётчики включены),1 месяц,от года,можно с животными,1.0,1,1991-2025
САО,р-н Головинский,59990,студия,5.0,26.0,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.8125,0,1991-2025
ВАО,р-н Гольяново,55000,1,3.0,36.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.5,0,1945-1970
ЗелАО,р-н Старое Крюково,29000,студия,12.0,12.0,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.5555555555555556,0,1970-1990
ВАО,р-н Богородское,65000,1,6.0,38.5,включена (счётчики включены),1 месяц,от года,можно с детьми и животными,0.5,0,1970-1990
ЮВАО,р-н Южнопортовый,95000,1,4.0,42.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.2,0,не попал
ЦАО,р-н Пресненский,97000,1,6.0,33.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.42857142857142855,0,1970-1990
САО,р-н Войковский,120000,2,9.0,73.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.425,0,1991-2025
САО,р-н Хорошевский,145000,2,3.0,62.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.1891891891891892,0,1991-2025
НАО (Новомосковский),Кокошкино дп,38000,студия,11.0,24.0,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.3333333333333333,0,1991-2025
ЮАО,р-н Даниловский,350000,4,12.0,133.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.631578947368421,0,1991-2025
ЮАО,р-н Орехово-Борисово Южное,48000,1,4.0,39.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.29411764705882354,0,не попал
ЮВАО,р-н Нижегородский,100000,2,14.0,78.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.5,0,1991-2025
ЮВАО,р-н Люблино,35000,1,8.0,48.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,1.0,1,1991-2025
НАО (Новомосковский),ул. Генерала Пилипенко,39000,1,16.0,35.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.23529411764705882,0,1991-2025
СВАО,р-н Алексеевский,260000,2,5.0,56.3,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.7,0,1991-2025
ЮАО,р-н Даниловский,240000,3,14.0,89.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.5333333333333333,0,1991-2025
ВАО,р-н Перово,40000,студия,11.0,31.5,включена (без счётчиков),1 месяц,несколько месяцев,можно с детьми и животными,0.2,0,1945-1970
ВАО,р-н Вешняки,45000,1,5.0,35.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.7777777777777778,0,1970-1990
ЮАО,р-н Донской,105000,1,14.0,33.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.08333333333333333,0,не попал
ЮВАО,р-н Лефортово,110000,2,14.0,51.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.34782608695652173,0,1991-2025
САО,р-н Западное Дегунино,37000,студия,8.0,11.0,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.5555555555555556,0,1991-2025
САО,р-н Войковский,114000,2,10.0,50.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.5555555555555556,0,1970-1990
ЮВАО,р-н Некрасовка,33000,студия,6.0,25.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.15789473684210525,0,1991-2025
ЦАО,р-н Тверской,125000,2,6.0,53.4,включена (без счётчиков),1 месяц,от года,можно с детьми,0.5555555555555556,0,1970-1990
САО,р-н Западное Дегунино,46000,студия,7.0,25.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.30303030303030304,0,1991-2025
ЮАО,р-н Даниловский,130000,студия,2.0,40.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.8333333333333334,0,1991-2025
САО,р-н Головинский,55000,2,4.0,44.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.4,0,1945-1970
СЗАО,р-н Строгино,48000,1,3.0,32.5,включена (без счётчиков),1 месяц,несколько месяцев,можно с детьми,0.8888888888888888,0,1970-1990
ЗАО,р-н Филевский парк,140000,2,9.0,39.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.9,0,1991-2025
ЮВАО,р-н Лефортово,140000,2,12.0,60.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.6428571428571429,0,не попал
